CompanyName,WineNameVintage,StandName,Lond,product_ref,Note,,SONETTO VINTAGE 10.9.12,SUPPLIER VINTAGE,DAVENTRY VINT CHECK 14.6.12,STOCK 24.8.12,920 Stock 02/08/2012,"On Order
As at 02.08.12",,f10,Stock in Brackmills,Stock on order,FAIR VINTAGE,P9 Promotion,"P9 Was
MB Price","P9 Now
MB Price",P9 Start Date,P9 End Date,"Web Bottle Price
XX.XX.11",New Listing Y_N,On Prom Y_N,Wine By the Case EXC,STILL_ SPK,ORGANIC_ FAIR TRADE_ VEGETARIAN,PRODUCER,COUNTRY,REGION,GRAPE 1,GRAPE 2,GRAPE 3,EXCLUSIVES TO MAIN ESTATE,NORMAL TESCO IN STORE RSP (From CUBE),NORMAL TESCO IN STORE RSP (From P9 Prom),AVAILABLE INSTORE (Y/N),TWC Normal Bott Price,TWC Price / (5%) or Prom Price,TWCF Show Bot Price (15%),TWCF Show Case Price (15%),Jay Was (Hide),Jay Was Roundown,Jay Now (Hide),Jay Now Rounddown,Jay Case,Stock 07/09/2012,Stock 10/09/2012,Case Size,Number of Fairs,ROS per Fair,Total Fair ROS,% Top Up,Min Cs Stk Required,Total Stk Value Required,Stock as of Wed 02_09 AM,Var to Min Req,Karla's Comments,Brandbank EAN _ Image URL,Brandbank Image Live,Brandbank Comment,Finest,NFS 17/10/2011,Stock 7:01 17.10.11,BWS Stock 17.10.11,BWS Held 17.10.11,BWS Orders 17.10.11,,Stock 7:01 19.10.11,BWS Stock 19.10.11,BWS Held 19.10.11,BWS Orders 19.10.11,Nick Exclusive Report,NFS,,
Tesco Wine by the case,Gauthier Brut Champagne NV,Tesco Wine by the case,L1,57303471,,Gauthier Brut Champagne NV,,,0,,,,http://www.tesco.com/wine/product/details/default.aspx?searchBox=057303471&id=254635499,,,,,,,,,,,,,,,,,France,Champagne,Chardonnay,Pinot Meunier,Pinot Noir,,,Exclusive to Dot Com,N,£32.00 ,,£27.20 ,£163.20 ,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,71555358,0,,
Tesco Wine by the case,Old Renwick Road Pinot Noir 2011,Tesco Wine by the case,L1,66242046,,Old Renwick Road Pinot Noir,2011,,2011,654,2022,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=066242046&id=266941832,,,,,,,,,,,,,,,,PLB Wines Ltd,New Zealand,Marlborough,Pinot Noir,,,,,Exclusive to Dot Com,N,£18.00 ,,£15.30 ,£91.80 ,18,18,13.5,13.5,81,265,530,6,,,,,,,,,,,,,,,,,,,,,,,,66242046,0,,
Tesco Wine by the case,"D'Arenberg, The High Trellis Cabernet 2009",Tesco Wine by the case,L1,65441336,,"D'Arenberg, The High Trellis Cabernet",2009,,2009,2040,,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=065441336&id=266121795,,,,,,,,,,,,,,,,D'Arenberg,Australia,McLaren Vale,Cabernet Sauvignon,,,,,Exclusive to Dot Com,N,£10.50 ,,£8.93 ,£107.10 ,10.5,10.5,7.875,7.87,94.44,166,330,12,,,,,,,,,,,,,,,,,,,,,,,,65441336,0,,
Tesco Wine by the case,Las Cometas Chilean Shiraz Reserva 2011,Tesco Wine by the case,L1,71555358,,Las Cometas Chilean Shiraz Reserva,2011,,2011,8034,980,560,http://www.tesco.com/wine/product/details/default.aspx?searchBox=071555358&id=273209405,,,,,,,,,,,,,,,,Las Pitras,Chile,Maipo Valley,Shiraz,,,,,Exclusive to Dot Com,N,£11.00 ,,£9.35 ,£56.10 ,11,11,8.25,8.25,49.5,615,1229,6,,,,,,,,,,,,,,,,,,,,,,,,71555358,0,,
Tesco Wine by the case,La Mascota Malbec 2009,Tesco Wine by the case,L1,70615819,,La Mascota Malbec,2009,,2009,828,608,500,http://www.tesco.com/wine/product/details/default.aspx?searchBox=070615819&id=271234204,,,,,,,,,,,,,,,,Bodegas Santa Ana,Argentina,Mendoza,Malbec,,,,,Exclusive to Dot Com,N,£10.00 ,,£8.50 ,£51.00 ,10,10,7.5,7.5,45,64,127,6,,,,,,,,,,,,,,,,,,,,,,,,70615819,0,,
Tesco Wine by the case,Pink Elephant Rosé 2011,Tesco Wine by the case,L1,60991163,,Pink Elephant Rosé,2011,,2011,12384,2113,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=060991163&id=259276190,,,,,,,,,,,,,,,,DFJ Vinhos,Portugal,Estremedura,Alfrocheiro,Touriga Nacional,,,,Exclusive to Dot Com,N,£7.00 ,,£5.95 ,£35.70 ,7,7,5.25,5.25,31.5,1006.5,2011,6,,,,,,,,,,,,,,,,,,,,,,,,60991163,0,,
Tesco Wine by the case,Faustino Rivero Rioja Blanco 2011,Tesco Wine by the case,L1,67847762,,Faustino Rivero Rioja Blanco,2011,,2011,0,,1260,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067847762&id=268592999,,,,,,,,,,,,,,,,Faustino Rivero Ulecia,Spain,Rioja,Viura,,,#N/A,,Exclusive to Dot Com,N,£10.00 ,£5.00 ,£4.25 ,£25.50 ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,67847762,0,,j
Tesco Wine by the case,Faustino Rivero Rioja Rosado 2011,Tesco Wine by the case,L1,66594779,,Faustino Rivero Rioja Rosado,2011,2011,2011,6054,,1260,http://www.tesco.com/wine/product/details/default.aspx?searchBox=066594779&id=267307315,,,,,,,,,,,,,,,,Fausino Rivero Ulecia,Spain,Rioja,Garnacha,,,#N/A,,Exclusive to Dot Com,N,£8.00 ,£5.00 ,£4.25 ,£25.50 ,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,66594779,0,,
Free Run Wines ,Jeeper Grand Réserve Brut Champagne NV,Free Run Wines ,L10,72082633,,Jeeper Grand Réserve Brut Champagne,0,0,0,6012,1455,0,http://www.tesco.com/wine/product/details/default.aspx?searchBox=072082633&id=274260456,,,,,,,,,,,,,,,,Champagne Lallement-Dubois Jeeper,France,Champagne,Chardonnay,,,2308157,0,,,£34.99 ,,£29.74 ,£178.45 ,34.99,34.99,26.2425,26.24,157.44,503,1006,6,5,,,,,,,,,,,,,,,,,,,,,,,72082633,0,,
Free Run Wines ,Jeeper Premier Cru Brut Champagne NV,Free Run Wines ,L10,67912702,,Jeeper Premier Cru Brut Champagne,0,0,0,1806,,480,http://www.tesco.com/wine/product/details/default.aspx?searchBox=067912702&id=268659887,,,,,,,,,,,,,,,,Champagne Lallement-Dubois Jeeper,France,Champagne,Chardonnay,Pinot Noir,Pinot Meunier,#N/A,0,Exclusive to Dot Com,N,£36.00 ,£22.00 ,£18.70 ,£112.20 ,36,36,22,22,132,150,297,6,5,,,,,,,,,,,,,,,,,,,,,,,67912702,0,,
